"";"Genera_Prefix";"Lineage_Name";"Lineage";"parasiteGenus";"order";"family";"genus";"species";"Host_Environment";"continent";"country";"Latitude";"Longitude";"strategy_3";"distance_4";"distance_quanti_RES0";"distance_quanti_ALL"
"4921";"H_";"JUNPHA01";"H_JUNPHA01";"Haemoproteus";"Passeriformes";"Tyrannidae";"Camptostoma";"Camptostoma_obsoletum";"Wild";"South_America";"Brazil";-28,8741666666667;-54,4333333333333;"resident";"resident";"0";"949.501991448273"
"4922";"H_";"JUNPHA01";"H_JUNPHA01";"Haemoproteus";"Trochiliformes";"Trochilidae";"Amazilia";"Amazilia_beryllina";"Wild";"North_America";"Mexico";21,3166666666667;-96,4352777777778;"resident";"resident";"0";"253.709100083296"
"4923";"H_";"JUNPHA01";"H_JUNPHA01";"Haemoproteus";"Trochiliformes";"Trochilidae";"Colibri";"Colibri_thalassinus";"Wild";"North_America";"Mexico";21,3166666666667;-96,4352777777778;"resident";"resident";"0";"534.535288374813"
"4924";"H_";"JUNPHA01";"H_JUNPHA01";"Haemoproteus";"Passeriformes";"Fringillidae";"Junco";"Junco_phaeonotus";"Wild";"North_America";"Mexico";21,3166666666667;-96,4352777777778;"resident";"resident";"0";"276.743774146381"
"4925";"H_";"JUNPHA01";"H_JUNPHA01";"Haemoproteus";"Passeriformes";"Fringillidae";"Pipilo";"Pipilo_maculatus";"Wild";"North_America";"Mexico";21,3166666666667;-96,4352777777778;"partial_mig";"variable";"895.565434351387";"895.565434351387"
"4926";"H_";"JUNPHA01";"H_JUNPHA01";"Haemoproteus";"Passeriformes";"Certhiidae";"Troglodytes";"Troglodytes_aedon";"Wild";"North_America";"Mexico";21,3166666666667;-96,4352777777778;"partial_mig";"variable";"3068.70277070142";"3068.70277070142"
"4927";"H_";"JUNPHA02";"H_JUNPHA02";"Haemoproteus";"Passeriformes";"Fringillidae";"Junco";"Junco_phaeonotus";"Wild";"North_America";"Mexico";21,3166666666667;-96,4352777777778;"resident";"resident";"0";"276.743774146381"
"4928";"L_";"JUNPHA03";"L_JUNPHA03";"Leucocytozoon";"Passeriformes";"Fringillidae";"Junco";"Junco_phaeonotus";"Wild";"North_America";"Mexico";21,3166666666667;-96,4352777777778;"resident";"resident";"0";"276.743774146381"
"4929";"H_";"KNIPOE01";"H_KNIPOE01";"Haemoproteus";"Passeriformes";"Tyrannidae";"Knipolegus";"Knipolegus_poecilocercus";"Wild";"South_America";"Brazil";-3,5;-55,7333333333333;"resident";"resident";"0";"402.588137229939"
"4930";"H_";"LACPUL01";"H_LACPUL01";"Haemoproteus";"Coraciiformes";"Alcedinidae";"Lacedo";"Lacedo_pulchella";"Wild";"Asia";"Malaysia";4,65;102,166666666667;"resident";"resident";"0";"442.908964002859"
"4931";"H_";"LACPUL01";"H_LACPUL01";"Haemoproteus";"Passeriformes";"Muscicapidae";"Enicurus";"Enicurus_ruficapillus";"Wild";"Asia";"Malaysia";4,65;102,166666666667;"resident";"resident";"0";"364.734675784288"
"4932";"H_";"LACPUL01";"H_LACPUL01";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Tricholestes";"Tricholestes_criniger";"Wild";"Asia";"Malaysia";4,65;102,166666666667;"resident";"resident";"0";"358.426214992142"
"4933";"P_";"LACRI01";"P_LACRI01";"Plasmodium";"Passeriformes";"Laniidae";"Lanius";"Lanius_cristatus";"Wild";"Asia";"Philippines";13,55;124,216666666667;"partial_mig";"long";"3281.08556886181";"3281.08556886181"
"4934";"L_";"LAGLAG02";"L_LAGLAG02";"Leucocytozoon";"Passeriformes";"Sylviidae";"Phylloscopus";"Phylloscopus_borealis";"Wild";"North_America";"United_States";63,9461111111111;-146,38;"strict_mig";"long";"5151.58590968292";"5151.58590968292"
"4935";"L_";"LAGLAG03";"L_LAGLAG03";"Leucocytozoon";"Galliformes";"Phasianidae";"Lagopus";"Lagopus_lagopus";"Wild";"North_America";"United_States";63,9561111111111;-146,341666666667;"partial_mig";"short";"1214.71783844824";"1214.71783844824"
"4936";"P_";"LAGSEN01";"P_LAGSEN01";"Plasmodium";"Passeriformes";"Estrildidae";"Lagonosticta";"Lagonosticta_senegala";"Wild";"Africa";"Benin";0;0;"resident";"resident";"0";"1036.92449505903"
"4937";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Strigiformes";"Strigidae";"Strix";"Strix_varia";"Wild";"North_America";"United_States";0;0;"resident";"resident";"0";"745.907874297268"
"4938";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Icteridae";"Dolichonyx";"Dolichonyx_oryzivorus";"Wild";"North_America";"United_States";40,8;-97,5666666666667;"strict_mig";"long";"7193.3022148631";"7193.3022148631"
"4939";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Fringillidae";"Geospiza";"Geospiza_fuliginosa";"Wild";"South_America";"Ecuador";2,05;-88,9194444444444;"resident";"resident";"0";"41.4301198839956"
"4940";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Anseriformes";"Anatidae";"Anas";"Anas_acuta";"Wild";"North_America";"United_States";0;0;"strict_mig";"long";"3127.76565604175";"3127.76565604175"
"4941";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Fringillidae";"Passerculus";"Passerculus_sandwichensis";"Wild";"North_America";"United_States";64,8666666666667;-146,266666666667;"partial_mig";"variable";"2163.91503200172";"1622.73934676547"
"4942";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Turdidae";"Catharus";"Catharus_ustulatus";"Wild";"North_America";"United_States";0;0;"strict_mig";"long";"4728.14437790961";"4728.14437790961"
"4943";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Corvidae";"Aphelocoma";"Aphelocoma_californica";"Wild";"North_America";"United_States";36,7333333333333;-118,516666666667;"resident";"resident";"0";"453.057032599143"
"4944";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Certhiidae";"Troglodytes";"Troglodytes_aedon";"Wild";"North_America";"United_States";36,7333333333333;-118,516666666667;"partial_mig";"variable";"3068.70277070142";"3068.70277070142"
"4945";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Fringillidae";"Amphispiza";"Amphispiza_bilineata";"Wild";"North_America";"Mexico";24,6944444444444;-98,5611111111111;"partial_mig";"short";"794.389488196284";"794.389488196284"
"4946";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Fringillidae";"Carduelis";"Carduelis_psaltria";"Wild";"North_America";"United_States";34,8333333333333;-107,85;"partial_mig";"short";"835.796986487889";"835.796986487889"
"4947";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Certhiidae";"Thryomanes";"Thryomanes_bewickii";"Wild";"North_America";"United_States";34,8333333333333;-107,85;"partial_mig";"short";"760.433717508333";"760.433717508333"
"4948";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Turdidae";"Sialia";"Sialia_mexicana";"Wild";"North_America";"United_States";34,8333333333333;-107,85;"partial_mig";"short";"885.959009624836";"885.959009624836"
"4949";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Turdidae";"Turdus";"Turdus_migratorius";"Wild";"North_America";"United_States";34,8333333333333;-107,85;"partial_mig";"variable";"1704.49679477972";"1704.49679477972"
"4950";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Corvidae";"Gymnorhinus";"Gymnorhinus_cyanocephalus";"Wild";"North_America";"United_States";34,8333333333333;-107,85;"resident";"resident";"0";"314.278440432777"
"4951";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Tyrannidae";"Tyrannus";"Tyrannus_vociferans";"Wild";"North_America";"United_States";34,8333333333333;-107,85;"partial_mig";"short";"595.43800896756";"595.43800896756"
"4952";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Turdidae";"Sialia";"Sialia_mexicana";"Wild";"North_America";"United_States";35,5333333333333;-106,65;"partial_mig";"short";"885.959009624836";"885.959009624836"
"4953";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Parulidae";"Dendroica";"Dendroica_coronata";"Wild";"North_America";"United_States";35,9333333333333;-103,861111111111;"partial_mig";"variable";"2070.21281974192";"2070.21281974192"
"4954";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Parulidae";"Dendroica";"Dendroica_coronata";"Wild";"North_America";"United_States";34,6611111111111;-106,188888888889;"partial_mig";"variable";"2070.21281974192";"2070.21281974192"
"4955";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Parulidae";"Dendroica";"Dendroica_coronata";"Wild";"North_America";"Canada";51,4705555555556;-111,785555555556;"partial_mig";"variable";"2070.21281974192";"2070.21281974192"
"4956";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Parulidae";"Dendroica";"Dendroica_coronata";"Wild";"North_America";"Canada";56,8394444444444;-125,233333333333;"partial_mig";"variable";"2070.21281974192";"2070.21281974192"
"4957";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Turdidae";"Sialia";"Sialia_currucoides";"Wild";"North_America";"United_States";37,2222222222222;-105,327777777778;"partial_mig";"variable";"1214.3938492933";"1214.3938492933"
"4958";"P_";"LAIRI01";"P_LAIRI01";"Plasmodium";"Passeriformes";"Certhiidae";"Thryomanes";"Thryomanes_bewickii";"Wild";"North_America";"United_States";37,2222222222222;-105,327777777778;"partial_mig";"short";"760.433717508333";"760.433717508333"
